"year","sex","cancer.type","measure","obs","suppress","obs_trend"
2006,1,"Prostate","ltr",0.243512259102615,0,NA
2006,1,"Prostate","Rates",202.746064893689,0,203.333469608059
2006,2,"All cancers","Counts",6210,0,6230.17057464022
2006,2,"All cancers","ltr",0.450838499338445,0,NA
2006,2,"All cancers","Rates",490.183165294975,0,493.982239588115
2006,2,"Breast (female)","Counts",1718,0,1695.80219780223
2006,2,"Breast (female)","ltr",0.138956402987751,0,NA
2006,2,"Breast (female)","Rates",136.960637447909,0,135.158954846418
2006,2,"Colorectal","Counts",952,0,871.995528036955
2006,2,"Colorectal","ltr",0.098615878250814,0,NA
2006,2,"Colorectal","Rates",75.0503545198688,0,68.7029638437132
2006,2,"Leukaemia","Counts",163,0,203.041800001449
2006,2,"Leukaemia","ltr",0.0169855378807723,0,NA
2006,2,"Leukaemia","Rates",13.0066333501479,0,16.2093090393523
2006,2,"Lung","Counts",457,0,477.950120399022
2006,2,"Lung","ltr",0.0444433324166661,0,NA
2006,2,"Lung","Rates",35.5454941344588,0,39.4751705587321
2006,2,"Lymphoma","Counts",249,0,271.223254215567
2006,2,"Lymphoma","ltr",0.0236323090318824,0,NA
2006,2,"Lymphoma","Rates",19.8837459214513,0,22.3282908114112
2006,2,"Melanoma","Counts",734,0,778.211856107344
2006,2,"Melanoma","ltr",0.0612849266682511,0,NA
2006,2,"Melanoma","Rates",58.1335819061821,0,62.4201907295871
2006,2,"Pancreatic","Counts",171,0,177.921568627446
2006,2,"Pancreatic","ltr",0.0120899054659653,0,NA
2006,2,"Pancreatic","Rates",13.0617585113457,0,14.2967316519419
2006,3,"All cancers","Counts",14366,0,14433.5139997769
2006,3,"All cancers","ltr",0.536506342614741,0,NA
2006,3,"All cancers","Rates",590.925787867869,0,592.694145975618
2006,3,"Colorectal","Counts",1998,0,1913.51648352164
2006,3,"Colorectal","ltr",0.107256010507007,0,NA
2006,3,"Colorectal","Rates",83.0986807165055,0,80.2721693210892
2006,3,"Leukaemia","Counts",401,0,471.317097244112
2006,3,"Leukaemia","ltr",0.0209368745878603,0,NA
2006,3,"Leukaemia","Rates",16.6774939037502,0,19.8394281872764
2006,3,"Lung","Counts",1375,0,1338.88303722935
2006,3,"Lung","ltr",0.0757546272295991,0,NA
2006,3,"Lung","Rates",56.6783217330569,0,55.4247795088363
2006,3,"Lymphoma","Counts",558,0,572.544547648872
2006,3,"Lymphoma","ltr",0.0271365246076409,0,NA
2006,3,"Lymphoma","Rates",22.6174849991205,0,24.4894971489118
2006,3,"Melanoma","Counts",1745,0,1850.89090909093
2006,3,"Melanoma","ltr",0.081235420819868,0,NA
2006,3,"Melanoma","Rates",71.8676978015342,0,76.4265149275257
2006,3,"Pancreatic","Counts",296,0,379.266666666666
2006,3,"Pancreatic","ltr",0.0138539478492401,0,NA
2006,3,"Pancreatic","Rates",12.1506880928864,0,15.6637785578062
2007,1,"All cancers","Counts",8601,0,8517.01280357733
2007,1,"All cancers","ltr",0.620558408419504,0,NA
2007,1,"All cancers","Rates",720.970297201201,0,714.925836819417
2007,1,"Colorectal","Counts",1046,0,1061.32967032968
2007,1,"Colorectal","ltr",0.110828156713739,0,NA
2007,1,"Colorectal","Rates",87.7959299765854,0,90.0662394751678
2007,1,"Leukaemia","Counts",361,0,297.685586517069
2007,1,"Leukaemia","ltr",0.0395409107282659,0,NA
2007,1,"Leukaemia","Rates",30.7883883954595,0,25.3803560614154
2007,1,"Lung","Counts",843,0,852.919848644274
2007,1,"Lung","ltr",0.0975085464682188,0,NA
2007,1,"Lung","Rates",72.1656986355746,0,73.72503192558
2007,1,"Lymphoma","Counts",342,0,318.84141727053
2007,1,"Lymphoma","ltr",0.0344481189426783,0,NA
2007,1,"Lymphoma","Rates",29.4278838345349,0,27.0058242462872
2007,1,"Melanoma","Counts",1129,0,1131.16668542894
2007,1,"Melanoma","ltr",0.110989090292614,0,NA
2007,1,"Melanoma","Rates",94.9286999750801,0,94.2885505107033
2007,1,"Pancreatic","Counts",204,0,196.549450549457
2007,1,"Pancreatic","ltr",0.0178977576566711,0,NA
2007,1,"Pancreatic","Rates",16.7462314323696,0,16.5988629479316
2007,1,"Prostate","Counts",2667,0,2478.57316250163
2007,1,"Prostate","ltr",0.258626877053928,0,NA
2007,1,"Prostate","Rates",219.329497024283,0,203.324453911839
2007,2,"All cancers","Counts",6469,0,6466.91600426952
2007,2,"All cancers","ltr",0.453381579440071,0,NA
2007,2,"All cancers","Rates",497.358075752327,0,496.860897561633
2007,2,"Breast (female)","Counts",1683,0,1767.010989011
2007,2,"Breast (female)","ltr",0.132827901468211,0,NA
2007,2,"Breast (female)","Rates",130.395034366864,0,136.749035664214
