"year","sex","agegrp","pop"
2019,"Persons",14,250718
2019,"Persons",15,218038
2019,"Persons",16,145922
2019,"Persons",17,94696
2019,"Persons",18,90028
2020,"Persons",1,307824
2020,"Persons",2,337510
2020,"Persons",3,346290
2020,"Persons",4,315814
2020,"Persons",5,339688
2020,"Persons",6,364234
2020,"Persons",7,359932
2020,"Persons",8,355604
2020,"Persons",9,325543
2020,"Persons",10,349170
2020,"Persons",11,322072
2020,"Persons",12,320018
2020,"Persons",13,289671
2020,"Persons",14,256132
2020,"Persons",15,227722
2020,"Persons",16,155702
2020,"Persons",17,100022
2020,"Persons",18,92665
2021,"Persons",1,301682
2021,"Persons",2,336411
2021,"Persons",3,350944
2021,"Persons",4,318330
2021,"Persons",5,332269
2021,"Persons",6,357271
2021,"Persons",7,362921
2021,"Persons",8,363160
2021,"Persons",9,332574
2021,"Persons",10,343838
2021,"Persons",11,334401
2021,"Persons",12,318729
2021,"Persons",13,298768
2021,"Persons",14,261406
2021,"Persons",15,236542
2021,"Persons",16,165688
2021,"Persons",17,105041
2021,"Persons",18,95839
2022,"Persons",1,306533
2022,"Persons",2,336516
2022,"Persons",3,355287
2022,"Persons",4,330758
2022,"Persons",5,336500
2022,"Persons",6,360062
2022,"Persons",7,370797
2022,"Persons",8,370761
2022,"Persons",9,344275
2022,"Persons",10,340227
2022,"Persons",11,346365
2022,"Persons",12,318761
2022,"Persons",13,307777
2022,"Persons",14,267428
2022,"Persons",15,237969
2022,"Persons",16,180830
2022,"Persons",17,110786
2022,"Persons",18,99309
