"year","sex","agegrp","pop"
2007,"Male",17,30214
2007,"Male",18,20247
2007,"Female",1,133030
2007,"Female",2,133557
2007,"Female",3,139184
2007,"Female",4,139551
2007,"Female",5,145506
2007,"Female",6,138190
2007,"Female",7,143705
2007,"Female",8,154820
2007,"Female",9,149875
2007,"Female",10,150205
2007,"Female",11,134736
2007,"Female",12,123806
2007,"Female",13,103939
2007,"Female",14,76866
2007,"Female",15,59658
2007,"Female",16,52008
2007,"Female",17,41005
2007,"Female",18,39054
2008,"Male",1,147877
2008,"Male",2,142340
2008,"Male",3,147859
2008,"Male",4,149872
2008,"Male",5,153690
2008,"Male",6,149869
2008,"Male",7,143178
2008,"Male",8,157662
2008,"Male",9,147592
2008,"Male",10,150699
2008,"Male",11,135989
2008,"Male",12,126757
2008,"Male",13,113499
2008,"Male",14,81813
2008,"Male",15,60340
2008,"Male",16,45853
2008,"Male",17,31204
2008,"Male",18,21191
2008,"Female",1,139587
2008,"Female",2,134991
2008,"Female",3,140692
2008,"Female",4,143557
2008,"Female",5,149120
2008,"Female",6,145429
2008,"Female",7,144239
2008,"Female",8,160026
2008,"Female",9,150264
2008,"Female",10,154227
2008,"Female",11,138087
2008,"Female",12,125785
2008,"Female",13,110167
2008,"Female",14,80418
2008,"Female",15,61358
2008,"Female",16,51987
2008,"Female",17,41878
2008,"Female",18,40409
2009,"Male",1,154113
2009,"Male",2,144796
2009,"Male",3,148726
2009,"Male",4,153489
2009,"Male",5,159135
2009,"Male",6,158863
2009,"Male",7,144770
2009,"Male",8,160698
2009,"Male",9,149542
2009,"Male",10,153462
2009,"Male",11,139599
2009,"Male",12,127933
2009,"Male",13,117670
2009,"Male",14,86418
2009,"Male",15,63205
2009,"Male",16,46093
2009,"Male",17,32006
2009,"Male",18,22209
2009,"Female",1,144945
2009,"Female",2,137386
2009,"Female",3,141981
2009,"Female",4,146479
2009,"Female",5,154229
2009,"Female",6,153276
2009,"Female",7,146061
2009,"Female",8,162591
2009,"Female",9,152358
2009,"Female",10,156859
2009,"Female",11,141901
2009,"Female",12,127835
2009,"Female",13,114585
2009,"Female",14,84797
2009,"Female",15,64103
2009,"Female",16,51961
2009,"Female",17,42809
2009,"Female",18,41888
2010,"Male",1,156741
2010,"Male",2,147372
2010,"Male",3,148992
2010,"Male",4,154329
2010,"Male",5,161679
2010,"Male",6,163408
2010,"Male",7,146225
2010,"Male",8,160312
2010,"Male",9,152715
2010,"Male",10,153658
2010,"Male",11,142827
2010,"Male",12,129391
2010,"Male",13,120818
2010,"Male",14,91286
2010,"Male",15,66720
2010,"Male",16,46598
2010,"Male",17,32972
2010,"Male",18,23360
2010,"Female",1,147455
2010,"Female",2,139717
2010,"Female",3,142175
2010,"Female",4,147793
2010,"Female",5,156840
2010,"Female",6,158302
2010,"Female",7,148077
2010,"Female",8,162365
2010,"Female",9,155414
2010,"Female",10,157471
2010,"Female",11,145380
2010,"Female",12,129759
2010,"Female",13,118326
2010,"Female",14,89969
2010,"Female",15,66704
2010,"Female",16,52597
2010,"Female",17,43408
2010,"Female",18,43589
2011,"Male",1,156391
2011,"Male",2,150901
2011,"Male",3,150295
2011,"Male",4,154934
2011,"Male",5,162837
2011,"Male",6,165381
2011,"Male",7,150039
2011,"Male",8,157473
2011,"Male",9,158701
2011,"Male",10,152761
2011,"Male",11,146561
2011,"Male",12,131660
2011,"Male",13,123606
2011,"Male",14,96189
2011,"Male",15,69939
2011,"Male",16,47873
2011,"Male",17,33823
2011,"Male",18,24595
2011,"Female",1,147939
2011,"Female",2,142847
2011,"Female",3,143465
2011,"Female",4,147927
2011,"Female",5,158933
2011,"Female",6,161562
2011,"Female",7,150975
2011,"Female",8,159972
2011,"Female",9,161462
2011,"Female",10,156552
2011,"Female",11,149603
2011,"Female",12,132437
2011,"Female",13,121806
2011,"Female",14,95034
2011,"Female",15,69458
2011,"Female",16,53413
2011,"Female",17,44150
2011,"Female",18,45284
2012,"Male",1,160065
2012,"Male",2,154776
2012,"Male",3,151609
2012,"Male",4,156201
2012,"Male",5,165752
2012,"Male",6,168762
2012,"Male",7,155382
2012,"Male",8,155878
2012,"Male",9,163592
2012,"Male",10,152606
2012,"Male",11,150474
2012,"Male",12,133723
2012,"Male",13,123428
2012,"Male",14,103071
2012,"Male",15,73247
2012,"Male",16,49709
2012,"Male",17,34408
2012,"Male",18,25946
2012,"Female",1,152249
2012,"Female",2,146152
2012,"Female",3,144225
2012,"Female",4,148926
2012,"Female",5,162604
2012,"Female",6,165794
2012,"Female",7,155232
2012,"Female",8,157927
2012,"Female",9,167389
2012,"Female",10,156374
2012,"Female",11,154059
2012,"Female",12,135647
2012,"Female",13,122241
2012,"Female",14,102072
2012,"Female",15,73093
2012,"Female",16,54838
2012,"Female",17,44389
2012,"Female",18,46847
2013,"Male",1,162515
2013,"Male",2,159609
2013,"Male",3,152465
2013,"Male",4,157117
2013,"Male",5,168333
2013,"Male",6,170857
2013,"Male",7,161405
2013,"Male",8,154298
2013,"Male",9,166825
2013,"Male",10,152638
2013,"Male",11,153410
2013,"Male",12,135710
2013,"Male",13,124612
2013,"Male",14,109118
2013,"Male",15,76074
2013,"Male",16,52015
2013,"Male",17,34990
2013,"Male",18,27276
2013,"Female",1,154411
2013,"Female",2,150588
2013,"Female",3,144561
2013,"Female",4,150436
2013,"Female",5,164718
2013,"Female",6,168539
2013,"Female",7,160707
2013,"Female",8,156582
2013,"Female",9,171229
2013,"Female",10,156570
2013,"Female",11,157504
2013,"Female",12,139077
2013,"Female",13,124673
2013,"Female",14,107853
2013,"Female",15,76884
2013,"Female",16,56344
2013,"Female",17,44245
2013,"Female",18,48636
2014,"Male",1,163160
2014,"Male",2,163781
2014,"Male",3,153731
2014,"Male",4,156864
2014,"Male",5,171534
2014,"Male",6,170756
2014,"Male",7,165087
2014,"Male",8,152545
2014,"Male",9,167652
2014,"Male",10,152876
2014,"Male",11,155160
2014,"Male",12,138573
2014,"Male",13,125399
2014,"Male",14,113373
2014,"Male",15,80085
2014,"Male",16,54711
2014,"Male",17,35557
2014,"Male",18,28719
2014,"Female",1,155069
2014,"Female",2,154430
2014,"Female",3,145634
2014,"Female",4,150596
2014,"Female",5,166480
2014,"Female",6,170266
2014,"Female",7,165268
